Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Au (at.%),Al (at.%)
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,36.0,13.4052,36.0,Au51.0Cu36.0Al13.0 %,51.0,13.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,22.0,14.4226,23.0,Au62.0Cu23.0Al15.0 %,62.0,15.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,71.0,12.326,40.0,Au43.0Cu40.0Al17.0 %,43.0,17.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,23.0,14.0284,22.0,Au60.0Cu22.0Al18.0 %,60.0,18.0
Pio John S; BuenconsejoJanine Pfetzing-Micklich; Michael Paulus; Christian Sternemann;Alfred Ludwig,Shap. Mem. Superelasticity,Composition–Structure–Property Relations in Au35–68Cu49–15Al16–17 Shape Memory Thin Films,2016.0,26.0,13.2186,33.0,Au51.0Cu33.0Al16.0 %,51.0,16.0
Pio John S; BuenconsejoJanine Pfetzing-Micklich; Michael Paulus; Christian Sternemann;Alfred Ludwig,Shap. Mem. Superelasticity,Composition–Structure–Property Relations in Au35–68Cu49–15Al16–17 Shape Memory Thin Films,2016.0,23.0,14.3604,22.0,Au62.0Cu22.0Al16.0 %,62.0,16.0
Pio John S; BuenconsejoJanine Pfetzing-Micklich; Michael Paulus; Christian Sternemann;Alfred Ludwig,Shap. Mem. Superelasticity,Composition–Structure–Property Relations in Au35–68Cu49–15Al16–17 Shape Memory Thin Films,2016.0,26.0,13.1564,32.0,Au51.0Cu32.0Al17.0 %,51.0,17.0
Pio John S; BuenconsejoJanine Pfetzing-Micklich; Michael Paulus; Christian Sternemann;Alfred Ludwig,Shap. Mem. Superelasticity,Composition–Structure–Property Relations in Au35–68Cu49–15Al16–17 Shape Memory Thin Films,2016.0,23.0,14.2982,21.0,Au62.0Cu21.0Al17.0 %,62.0,17.0
Gianluca Fiore; Livio Battezzati,Intermetallics,An entropy driven phase transformation in a Au43.3Cu31.8Al24.9 shape-memory alloy,2011.0,34.0,11.86576,31.8,Au43.3Cu31.8Al24.9 %,43.3,24.9
Kenji Goto;; Akira Umise; Masaki Tahara; Hideki Hosoda3,Materials Transactions,Compressive Deformation Behavior and Magnetic Susceptibility of Au2CuAl Biomedical Shape Memory Alloys,2019.0,100.0,11.517,35.0,Au40.0Cu35.0Al25.0 %,40.0,25.0
Kenji Goto;; Akira Umise; Masaki Tahara; Hideki Hosoda2,Materials Transactions,Compressive Deformation Behavior and Magnetic Susceptibility of Au2CuAl Biomedical Shape Memory Alloys,2019.0,60.0,12.036,30.0,Au45.0Cu30.0Al25.0 %,45.0,25.0
Kenji Goto;; Akira Umise; Masaki Tahara; Hideki Hosoda1,Materials Transactions,Compressive Deformation Behavior and Magnetic Susceptibility of Au2CuAl Biomedical Shape Memory Alloys,2019.0,32.0,12.555,25.0,Au50.0Cu25.0Al25.0 %,50.0,25.0
Guobo Panga; Mingjiang Jina; Shungui Zuoc; Xuejun Jina,Intermetallics,Martensitic transformation and superelasticity in Au7Cu5Al4 shape memory alloy microwires,2019.0,66.0,12.074875,30.625,Au45.0Cu30.625Al24.375 %,45.0,24.375
S. Urbano; A. Manca; S. Besseghini; G. Airoldi,,Martensite ageing effects in Au7Cu5Al14,2005.0,62.0,11.94666,32.3,Au43.6Cu32.3Al24.1 %,43.6,24.1
Michael B. Cortiea; Catherine S. Kealley; Vijay Bhatia; Gordon J. Thorogood; Margaret M. Elcombe; Maxim Avdeev,Journal of Alloys and Compounds,High temperature transformations of the Au7Cu5Al4 shape-memory alloy,2011.0,72.0,11.90625,31.25,Au43.75Cu31.25Al25.0 %,43.75,25.0
