Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Martensite Start Temperature - MS - (°C),Ru (at.%),composition,Nb (at.%)
X. Gao; Y. Zheng; W. Cai and L. Zhao,Acta Metallurgica Sinica,Phase Transformation Behavior and Microstructure Observation of Nb-Ru High Temperature Shape Memory Alloy,2003.0,19.0,741.0,50.0,Ru50.0Nb50.0 %,50.0
X. Gao; Y. Zheng; W. Cai and L. Zhao,Acta Metallurgica Sinica,Phase Transformation Behavior and Microstructure Observation of Nb-Ru High Temperature Shape Memory Alloy,2003.0,21.0,887.0,50.0,Ru50.0Nb50.0 %,50.0
K. Chastaing; A. Denquin; R. Portier and P. Vermaut,Materials Science and Engineering: A,High-temperature shape memory alloys based on the RuNb system,2008.0,50.0,891.0,49.8,Ru49.8Nb50.2 %,50.2
K. Chastaing; A. Denquin; R. Portier and P. Vermaut,Materials Science and Engineering: A,High-temperature shape memory alloys based on the RuNb system,2008.0,42.0,736.0,48.0,Ru48.0Nb52.0 %,52.0
K. Chastaing; A. Denquin; R. Portier and P. Vermaut,Materials Science and Engineering: A,High-temperature shape memory alloys based on the RuNb system,2008.0,22.5,572.0,46.1,Ru46.1Nb53.9 %,53.9
K. Chastaing; A. Denquin; R. Portier and P. Vermaut,Materials Science and Engineering: A,High-temperature shape memory alloys based on the RuNb system,2008.0,74.0,492.0,44.7,Ru44.7Nb55.3 %,55.3
A. Denquin; K. Chastaing; P. Vermaut; D. Caillard; J. Van Humbeeck and R. Portier,International Conference on Martensitic Transformations (ICOMAT),Shape Recovery in RuNb‐Based High Temperature Shape Memory Alloys,2009.0,16.0,887.0,49.8,Ru49.8Nb50.2 %,50.2
A. Denquin; K. Chastaing; P. Vermaut; D. Caillard; J. Van Humbeeck and R. Portier,International Conference on Martensitic Transformations (ICOMAT),Shape Recovery in RuNb‐Based High Temperature Shape Memory Alloys,2009.0,20.0,752.0,49.8,Ru49.8Nb50.2 %,50.2
A. Denquin; K. Chastaing; P. Vermaut; D. Caillard; J. Van Humbeeck and R. Portier,International Conference on Martensitic Transformations (ICOMAT),Shape Recovery in RuNb‐Based High Temperature Shape Memory Alloys,2009.0,7.0,492.0,44.7,Ru44.7Nb55.3 %,55.3
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,16.0,887.0,49.8,Ru49.8Nb50.2 %,50.2
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,20.0,751.0,49.8,Ru49.8Nb50.2 %,50.2
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,7.0,492.0,44.7,Ru44.7Nb55.3 %,55.3
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,16.0,327.0,42.6,Ru42.6Nb57.4 %,57.4
C.-L. Tan; W. Cai and X.-H. Tian,Chinese Physics B,Combined experimental and theoretical study on the effect of Nb content on martensitic transformation of NbRu shape memory alloys,2010.0,40.0,1054.0,53.0,Ru53.0Nb47.0 %,47.0
C.-L. Tan; W. Cai and X.-H. Tian,Chinese Physics B,Combined experimental and theoretical study on the effect of Nb content on martensitic transformation of NbRu shape memory alloys,2010.0,38.0,863.0,53.0,Ru53.0Nb47.0 %,47.0
C.-L. Tan; W. Cai and X.-H. Tian,Chinese Physics B,Combined experimental and theoretical study on the effect of Nb content on martensitic transformation of NbRu shape memory alloys,2010.0,26.0,887.0,50.0,Ru50.0Nb50.0 %,50.0
C.-L. Tan; W. Cai and X.-H. Tian,Chinese Physics B,Combined experimental and theoretical study on the effect of Nb content on martensitic transformation of NbRu shape memory alloys,2010.0,24.0,741.0,50.0,Ru50.0Nb50.0 %,50.0
C.-L. Tan; W. Cai and X.-H. Tian,Chinese Physics B,Combined experimental and theoretical study on the effect of Nb content on martensitic transformation of NbRu shape memory alloys,2010.0,39.0,648.0,45.0,Ru45.0Nb55.0 %,55.0
C.-L. Tan; W. Cai and X.-H. Tian,Chinese Physics B,Combined experimental and theoretical study on the effect of Nb content on martensitic transformation of NbRu shape memory alloys,2010.0,19.0,562.0,45.0,Ru45.0Nb55.0 %,55.0
L. Dirand; M. Nó; K. Chastaing; A. Denquin and J. San Juan,Applied Physics Letters,Internal friction and dynamic modulus in Ru-50Nb ultra-high temperature shape memory alloys,2012.0,143.0,910.0,50.0,Ru50.0Nb50.0 %,50.0
L. Dirand; M. Nó; K. Chastaing; A. Denquin and J. San Juan,Applied Physics Letters,Internal friction and dynamic modulus in Ru-50Nb ultra-high temperature shape memory alloys,2012.0,66.0,781.0,50.0,Ru50.0Nb50.0 %,50.0
