Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Ni (at.%),composition,Ti (at.%),Au (at.%)
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,67.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,73.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,61.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,69.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,55.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,71.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,47.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,59.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,51.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,46.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,43.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,40.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,44.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,35.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,47.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,40.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,36.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,34.0,10.8643,10.0,Ni10.0Ti50.0Au40.0 %,50.0,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,81.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,77.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,65.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,79.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,77.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,69.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,57.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,66.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,60.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,52.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,41.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,46.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,56.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,36.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,29.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,43.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,34.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,30.0,10.877503,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
