Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Ni (at.%),composition,Ti (at.%),Au (at.%)
,,,2022.0,78.521,6.941746,48.6,Ni48.6Ti49.4Au2.0 %,49.4,2.0
,,,2022.0,57.5853,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,52.2421,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,50.9802,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,54.583,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,35.532,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,53.456,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,65.893,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,65.211,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,64.392,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,66.943,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,70.821,7.045666,47.6,Ni47.6Ti49.4Au3.0 %,49.4,3.0
,,,2022.0,64.84,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,83.65,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,44.51,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,98.46,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,107.03,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,24.89,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,17.526,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,54.1,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,55.7,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,56.1,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,55.9,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,60.7,7.64278,41.0,Ni41.0Ti50.0Au9.0 %,50.0,9.0
,,,2022.0,57.954,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,92.888,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,29.976,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,126.04,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,149.408,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,21.981,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,19.65,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,20.752,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,37.3,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,37.9,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,37.8,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,38.9,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,32.8,7.655983,41.3,Ni41.3Ti49.7Au9.0 %,49.7,9.0
,,,2022.0,83.476,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,62.92,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,107.371,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,124.792,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,39.436,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,19.061,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,14.268,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,69.4,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,70.7,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,71.5,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,70.5,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,71.9,7.7467,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,78.739,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,103.654,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,56.434,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,142.51,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,66.229,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,99.304,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,36.937,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,37.634,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,131.175,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,19.823,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,140.848,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,28.233,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,48.576,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,12.776,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,55.0,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,55.8,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,58.5,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,58.3,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,59.4,7.759903,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2026.0,87.35,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2025.0,68.87,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2027.0,108.05,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2024.0,46.88,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2028.0,131.48,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2023.0,21.535,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,13.042,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,109.3,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,111.8,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,111.1,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,110.1,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,111.5,7.85062,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,102.455,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,82.978,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,57.058,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,138.437,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,142.468,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,127.827,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,29.767,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,149.283,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,147.205,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,16.42,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,83.2,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,93.2,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,93.5,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,93.5,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,94.3,7.863823,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
