Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Al (at.%),Mn (at.%)
Koeda; Omori; Sutou; Suzuki; Wakita; Kainuma; Ishida,,Damping Properties of Ductile Cu-Al-Mn-Based Shape Memory Alloys,2005.0,42.0,7.7031,72.0,Cu72.0Al17.0Mn11.0 %,17.0,11.0
Koeda; Omori; Sutou; Suzuki; Wakita; Kainuma; Ishida,,Damping Properties of Ductile Cu-Al-Mn-Based Shape Memory Alloys,2005.0,30.0,7.7031,72.0,Cu72.0Al17.0Mn11.0 %,17.0,11.0
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,48.0,7.24087,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,39.0,7.24087,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,40.0,7.24087,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,7.0,7.24087,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kokorin; Kozlova; Titenko,,Temperature hysteresis of martensite transformation in aging Cu–Mn–Al alloy,2002.0,22.0,7.24087,69.4,Cu69.4Al25.9Mn4.7 %,25.9,4.7
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,48.0,7.19546,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,39.0,7.19546,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,40.0,7.19546,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,24.0,7.19546,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,32.0,7.19546,68.9,Cu68.9Al26.7Mn4.4 %,26.7,4.4
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,45.0,7.30494,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,45.0,7.30494,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
Kozlova; Titenko,,Stress-induced martensitic transformation in polycrystalline aged Cu–Al–Mn alloys,2006.0,62.0,7.30494,70.2,Cu70.2Al24.8Mn5.0 %,24.8,5.0
