Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Fe (at.%),composition,Mn (at.%)
K.Enami; A.Nagasawa and S.Nenno,Osaka City University; Japan,REVERSIBLE SHAPE MEMORY EFFECT IN Fe-BASE ALLOYS,1975.0,100.0,190.0,81.25,Fe81.25Mn18.75 %,18.75
Stanford N; Dunne DP,Acta materialia, Effect of Si on the reversibility of stress-induced martensite in Fe–Mn–Si shape memory alloys,2010.0,82.85,144.85,74.49,Fe74.49Mn25.51 %,25.51
Stanford N; Dunne DP,Acta materialia, Effect of Si on the reversibility of stress-induced martensite in Fe–Mn–Si shape memory alloys,2010.0,2.85,95.85,69.96,Fe69.96Mn30.04 %,30.04
