Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Au (at.%),composition,Cu (at.%),Zn (at.%)
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,41.5,52.5,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,35.3,50.0,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,28.3,47.9,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,21.6,45.7,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,13.6,43.3,25.0,Au25.0Cu30.0Zn45.0 %,30.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,34.8,35.4,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,34.8,35.4,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,34.7,35.2,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,34.5,35.2,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,34.2,34.8,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,33.3,34.1,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,32.2,32.7,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,31.0,31.4,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,29.6,30.0,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,28.2,28.7,27.0,Au27.0Cu28.0Zn45.0 %,28.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-37.8,-38.0,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-37.9,-38.0,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-37.9,-38.1,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-38.0,-38.2,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-37.9,-38.0,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-38.1,-38.3,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-37.8,-37.9,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-37.9,-37.8,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-38.0,-38.0,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
Yintao Song Xian Chen1; Vivekanand Dabade; Thomas W. Shield; Richard D. James,Nature,Enhanced reversibility and unusual microstructure of a phase-transforming material,2013.0,-38.0,-38.0,30.0,Au30.0Cu25.0Zn45.0 %,25.0,45.0
N.Nakanishi; Y.Murakami and S.Kachi,Scripta METALLURGICA,PSEUDOELASTICITY AND ELASTIC ANISOTROPY IN THE ~ PHASE THERMOELASTIC ALLOYS.,1971.0,-200.9,-177.6,18.3,Au18.3Cu34.7Zn47.0 %,34.7,47.0
N.Nakanishi; Y.Murakami and S.Kachi,Scripta METALLURGICA,PSEUDOELASTICITY AND ELASTIC ANISOTROPY IN THE ~ PHASE THERMOELASTIC ALLOYS.,1971.0,-236.0,-226.9,23.2,Au23.2Cu29.8Zn47.0 %,29.8,47.0
N.Nakanishi; Y.Murakami and S.Kachi,Scripta METALLURGICA,PSEUDOELASTICITY AND ELASTIC ANISOTROPY IN THE ~ PHASE THERMOELASTIC ALLOYS.,1971.0,-183.9,-163.2,26.0,Au26.0Cu27.0Zn47.0 %,27.0,47.0
N.Nakanishi; Y.Murakami and S.Kachi,Scripta METALLURGICA,PSEUDOELASTICITY AND ELASTIC ANISOTROPY IN THE ~ PHASE THERMOELASTIC ALLOYS.,1971.0,-257.1,-253.1,26.3769399,Au26.3769398990403Cu26.6230601009597Zn47.0 %,26.6230601,47.0
N.Nakanishi; Y.Murakami and S.Kachi,Scripta METALLURGICA,PSEUDOELASTICITY AND ELASTIC ANISOTROPY IN THE ~ PHASE THERMOELASTIC ALLOYS.,1971.0,-242.7,-235.7,28.45241934,Au28.4524193406542Cu24.5475806593458Zn47.0 %,24.54758066,47.0
N.Nakanishi; Y.Murakami and S.Kachi,Scripta METALLURGICA,PSEUDOELASTICITY AND ELASTIC ANISOTROPY IN THE ~ PHASE THERMOELASTIC ALLOYS.,1971.0,-219.5,-206.7,30.32123028,Au30.3212302785481Cu22.6787697214519Zn47.0 %,22.67876972,47.0
N.Nakanishi; Y.Murakami and S.Kachi,Scripta METALLURGICA,PSEUDOELASTICITY AND ELASTIC ANISOTROPY IN THE ~ PHASE THERMOELASTIC ALLOYS.,1971.0,-183.9,-163.2,35.21619578,Au35.2161957751681Cu17.783804224831897Zn47.0 %,17.78380422,47.0
