Authors,Source,Title,Year,Austenite Start Temperature - AS - (°C),Martensite Start Temperature - MS - (°C),Ti (at.%),composition,Pd (at.%)
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,517.0,540.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,581.5,546.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,592.0,547.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi; T. Ueki and K. Mitose,Materials Letters,Recovery and recrystallization in the Ti50Pd50 martensite,1997.0,590.0,549.0,50.0,Ti50.0Pd50.0 %,50.0
Y. Xu; K. Otsuka; E. Furubayashi and K. Mitose,Materials Letters,TEM observation of recrystallization process in solution-treated Ti50Pd50 martensite,1998.0,572.3,536.8,50.0,Ti50.0Pd50.0 %,50.0
W. Cai; K. Otsuka and M. Asai,Materials transactions; JIM,Martensite aging effect in Ti–Pd and Ti–Pd–Ni high temperature shape memory alloys,1999.0,572.2,532.4,50.0,Ti50.0Pd50.0 %,50.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,580.0,538.0,50.0,Ti50.0Pd50.0 %,50.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,585.0,534.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,582.0,548.0,50.0,Ti50.0Pd50.0 %,50.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,547.0,519.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,495.0,514.0,53.0,Ti53.0Pd47.0 %,47.0
V. C. Solomon and M. Nishida,Materials Transactions,Martensitic transformation in Ti-rich Ti-Pd shape memory alloys,2002.0,499.0,513.0,53.0,Ti53.0Pd47.0 %,47.0
