Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Zr (at.%)
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,-15.0,37.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,-5.0,43.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,4.0,51.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,22.0,57.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,46.0,69.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,67.0,73.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,97.0,90.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,91.0,81.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,105.0,85.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,-38.0,12.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,-14.0,28.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,22.0,78.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,35.0,97.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,40.0,98.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,49.0,103.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,67.0,110.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,74.0,113.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,34.0,105.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,37.0,109.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,47.0,115.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,57.0,127.0,51.0,Ni51.0Ti32.0Zr17.0 %,32.0,17.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,54.0,122.0,51.0,Ni51.0Ti32.0Zr17.0 %,32.0,17.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,64.0,129.0,51.0,Ni51.0Ti32.0Zr17.0 %,32.0,17.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,136.0,164.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,134.0,162.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,132.0,159.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,133.0,158.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,140.0,156.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,132.0,155.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,133.0,154.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,135.0,152.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,143.0,165.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,136.0,157.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,201.0,195.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,201.0,201.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,197.0,186.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,192.0,186.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,188.0,171.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,183.0,165.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,80.0,85.0,49.5,Ni49.5Ti49.5Zr1.0 %,49.5,1.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,73.0,83.0,49.5,Ni49.5Ti47.5Zr3.0 %,47.5,3.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,66.0,79.0,49.5,Ni49.5Ti45.5Zr5.0 %,45.5,5.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,99.0,129.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,191.0,210.0,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,287.0,312.0,49.5,Ni49.5Ti30.5Zr20.0 %,30.5,20.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,50.0,73.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,37.0,48.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,41.0,65.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,54.0,77.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,51.0,70.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,46.0,73.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,38.0,63.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,36.0,61.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,51.0,66.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,60.0,91.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,53.0,86.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,64.0,92.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,50.0,81.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,52.0,87.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,48.0,92.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,17.0,64.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,-27.0,32.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,55.0,100.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,45.0,76.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,32.0,60.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,52.0,79.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,58.0,84.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,35.0,69.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,38.0,70.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,32.0,68.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,23.0,72.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,1.0,48.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,37.0,84.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,42.0,89.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,71.0,117.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,69.0,112.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,68.0,108.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,70.0,108.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,73.0,106.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,77.0,108.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons; C. Hayrettin and R. D. Noebe,Acta Materialia,Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys,2016.0,30.0,68.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons; C. Hayrettin and R. D. Noebe,Acta Materialia,Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys,2016.0,136.0,166.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons; C. Hayrettin and R. D. Noebe,Acta Materialia,Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys,2016.0,133.0,161.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons; C. Hayrettin and R. D. Noebe,Acta Materialia,Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys,2016.0,111.0,155.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,-35.0,-24.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,-35.0,-24.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,43.0,7.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,45.0,43.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,24.0,40.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,35.0,39.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,28.0,34.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,35.0,46.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,10.0,29.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,26.0,29.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,24.0,30.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,47.0,50.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,-13.0,24.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,13.0,27.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,33.0,-5.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,16.0,23.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,15.0,17.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,31.0,28.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,24.0,21.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,28.0,36.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,2.0,10.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
