Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Hf (at.%)
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,169.0,173.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,169.0,173.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,167.0,171.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,167.0,172.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,165.0,169.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,165.0,170.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,163.0,169.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,164.0,169.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,167.0,169.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,168.0,170.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,166.0,171.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,163.0,170.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
V. G. Pushin; N. N. Kuranova; A. V. Pushin; A. N. Uksusnikov and N. I. Kourov,Technical Physics,Structure and thermoelastic martensitic transformations in ternary Ni–Ti–Hf alloys with a high-temperature shape memory effect,2016.0,132.0,157.0,50.0,Ni50.0Ti38.0Hf12.0 %,38.0,12.0
V. G. Pushin; N. N. Kuranova; A. V. Pushin; A. N. Uksusnikov and N. I. Kourov,Technical Physics,Structure and thermoelastic martensitic transformations in ternary Ni–Ti–Hf alloys with a high-temperature shape memory effect,2016.0,177.0,207.0,50.0,Ni50.0Ti35.0Hf15.0 %,35.0,15.0
V. G. Pushin; N. N. Kuranova; A. V. Pushin; A. N. Uksusnikov and N. I. Kourov,Technical Physics,Structure and thermoelastic martensitic transformations in ternary Ni–Ti–Hf alloys with a high-temperature shape memory effect,2016.0,227.0,257.0,50.0,Ni50.0Ti32.0Hf18.0 %,32.0,18.0
V. G. Pushin; N. N. Kuranova; A. V. Pushin; A. N. Uksusnikov and N. I. Kourov,Technical Physics,Structure and thermoelastic martensitic transformations in ternary Ni–Ti–Hf alloys with a high-temperature shape memory effect,2016.0,247.0,291.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,105.0,112.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,89.0,99.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,178.0,225.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,133.0,140.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,135.0,134.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,94.0,116.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,93.0,114.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,89.0,111.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,93.0,117.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,101.0,121.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,107.0,122.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,114.0,128.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,122.0,134.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,130.0,142.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,108.0,125.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,109.0,126.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,108.0,128.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,117.0,129.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,126.0,133.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,133.0,141.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,141.0,144.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,151.0,147.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,159.0,156.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,161.0,185.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,161.0,183.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,167.0,185.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,161.0,184.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,173.0,186.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,181.0,192.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,188.0,194.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,196.0,199.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,203.0,205.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,143.0,159.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,145.0,159.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,140.0,159.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,151.0,162.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,158.0,167.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,167.0,170.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,172.0,173.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,181.0,177.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
B. C. Hornbuckle; T. T. Sasaki; G. S. Bigelow; R. D. Noebe; M. L. Weaver and G. B. Thompson,Materials Science and Engineering: A,Structure–property relationships in a precipitation strengthened Ni–29.7Ti–20Hf (at%) shape memory alloy,2015.0,191.0,184.0,50.0,Ni50.0Ti29.7Hf20.3 %,29.7,20.3
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,290.0,303.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,290.0,302.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,290.0,304.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,290.0,306.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,295.0,311.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,298.0,314.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,291.0,308.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,292.0,310.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,277.0,295.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,278.0,295.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,278.0,295.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,281.0,303.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,278.0,296.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,279.0,300.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,278.0,297.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
D. H. D. Hsu; B. C. Hornbuckle; B. Valderrama; F. Barrie; H. B. Henderson; G. B. Thompson and M. V. Manuel,Journal of Alloys and Compounds,The effect of aluminum additions on the thermal; microstructural; and mechanical behavior of NiTiHf shape memory alloys,2015.0,278.0,298.0,50.0,Ni50.0Ti30.0Hf20.0 %,30.0,20.0
H. D. Gu; L. You; K. M. Leung; C. Y. Chung; K. S. Chan and J. K. L. Lai,Applied Surface Science,Growth of TiNiHf shape memory alloy thin films by laser ablation of composite targets,1998.0,44.0,88.0,50.04,Ni50.04Ti36.63Hf13.33 %,36.63,13.33
R. Santamarta; A. Evirgen; A. M. Perez-Sierra; J. Pons; E. Cesari; I. Karaman and R. D. Noebe,Shape Memory and Superelasticity,Effect of Thermal Treatments on Ni–Mn–Ga and Ni-Rich Ni–Ti–Hf/Zr High-Temperature Shape Memory Alloys,2015.0,180.0,205.0,50.1,Ni50.1Ti24.9Hf25.0 %,24.9,25.0
R. Santamarta; A. Evirgen; A. M. Perez-Sierra; J. Pons; E. Cesari; I. Karaman and R. D. Noebe,Shape Memory and Superelasticity,Effect of Thermal Treatments on Ni–Mn–Ga and Ni-Rich Ni–Ti–Hf/Zr High-Temperature Shape Memory Alloys,2015.0,65.0,128.0,50.1,Ni50.1Ti24.9Hf25.0 %,24.9,25.0
A. I. Tagiltsev; N. Y. Surikov; E. Y. Panchenko; Y. I. Chumlyakov and I. Karaman,Russian Physics Journal,Special Features of Functional Properties of Heterophase High-Strength Ni50.2Ti37.3Hf12.5 Polycrystals and Single Crystals,2019.0,-75.0,-15.0,50.2,Ni50.2Ti37.3Hf12.5 %,37.3,12.5
A. I. Tagiltsev; N. Y. Surikov; E. Y. Panchenko; Y. I. Chumlyakov and I. Karaman,Russian Physics Journal,Special Features of Functional Properties of Heterophase High-Strength Ni50.2Ti37.3Hf12.5 Polycrystals and Single Crystals,2019.0,95.0,77.0,50.2,Ni50.2Ti37.3Hf12.5 %,37.3,12.5
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,38.0,75.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,41.0,188.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,182.0,216.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,67.0,191.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,185.0,216.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,104.0,192.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,146.0,195.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,187.0,216.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
M. Moshref-Javadi; S. H. Seyedein; M. T. Salehi and M. R. Aboutalebi,Acta Materialia,Age-induced multi-stage transformation in a Ni-rich NiTiHf alloy,2013.0,41.0,86.0,50.3,Ni50.3Ti34.7Hf15.0 %,34.7,15.0
