Authors,Source,Title,Year,Martensite Start Temperature - MS - (°C),Austenite Start Temperature - AS - (°C),Ni (at.%),composition,Ti (at.%),Hf (at.%)
K. Wu; Z. Pu and Y. Gao,International Conference of Displacive Phase Transformations and their Applications in Materials Engineering,Study of NiTi-Hf and NiTi-Zr High-Temperature Shape Memory Alloys,1996.0,412.0,420.0,48.0,Ni48.0Ti27.0Hf25.0 %,27.0,25.0
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,79.0,109.0,48.3,Ni48.3Ti45.5Hf6.2 %,45.5,6.2
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,60.0,61.0,48.5,Ni48.5Ti50.5Hf1.0 %,50.5,1.0
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,79.0,92.0,48.5,Ni48.5Ti46.5Hf5.0 %,46.5,5.0
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,199.0,208.0,48.5,Ni48.5Ti36.5Hf15.0 %,36.5,15.0
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,299.0,322.0,48.5,Ni48.5Ti31.5Hf20.0 %,31.5,20.0
Z. Pu; H. K. Tseng and K. Wu,International Society for Optical Engineering,Innovative system of high-temperature shape memory alloys,1994.0,409.0,401.0,48.5,Ni48.5Ti26.5Hf25.0 %,26.5,25.0
G. K. Rasmussen; F. Chang; J. Zhang and T. J. Gold,US6592724B1,Method for producing NiTiHf alloy films by sputtering,2003.0,153.0,181.0,48.5,Ni48.5Ti35.5Hf16.0 %,35.5,16.0
G. K. Rasmussen; F. Chang; J. Zhang and T. J. Gold,US6592724B1,Method for producing NiTiHf alloy films by sputtering,2003.0,178.0,204.0,48.5,Ni48.5Ti35.5Hf16.0 %,35.5,16.0
X. D. Han; W. H. Zou; R. Wang; Z. Zhang and D. Z. Yang,Acta Materialia,Structure and substructure of martensite in a Ti36.5Ni48.5Hf15 high temperature shape memory alloy,1996.0,200.0,227.0,48.5,Ni48.5Ti36.5Hf15.0 %,36.5,15.0
S. Han; W. Zou; S. Jin; Z. Zhang and D. Yang,Scripta Metallurgica et Materialia,The studies of the martensite transformations in a Ti36.5Ni48.5Hf15 alloy,1995.0,200.0,217.0,48.5,Ni48.5Ti36.5Hf15.0 %,36.5,15.0
X. D. Han; Z. Zhang and T. Li,International Symposium on Shape Memory Materials,The studies of the microstructure and the martensite transformations in a Ti36.5Ni48.5Hf15 alloy,1994.0,200.0,217.0,48.5,Ni48.5Ti36.5Hf15.0 %,36.5,15.0
Q. Wei; X. D. Han and Z. Zhang,Materials Letters,The substructures of martensite in a TiNiHf10 high temperature shape memory alloy,2006.0,150.0,180.0,48.5,Ni48.5Ti41.5Hf10.0 %,41.5,10.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,182.0,211.0,48.7,Ni48.7Ti36.8Hf14.5 %,36.8,14.5
K. H. Wu; Z. Pu; H. Tseng and F. S. Biancaniello,Shape Memory and Superelastic Technologies,The Shape Memory Effect of the NiTi-Hf High Temperature Shape Memory Alloy,1995.0,60.0,61.0,48.8,Ni48.8Ti50.1Hf1.1 %,50.1,1.1
K. M. Kim; J. K. Hong; C. H. Park and J.-T. Yeom,Journal of Nanoscience and Nanotechnology,Comparative Study of the Thermocyclic Behavior of Ti–Ni–Hf and Ti–Ni–Hf–Ta Shape Memory Alloys,2016.0,211.0,228.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
K. M. Kim; J. K. Hong; C. H. Park and J.-T. Yeom,Journal of Nanoscience and Nanotechnology,Comparative Study of the Thermocyclic Behavior of Ti–Ni–Hf and Ti–Ni–Hf–Ta Shape Memory Alloys,2016.0,208.0,226.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
K. M. Kim; J. K. Hong; C. H. Park and J.-T. Yeom,Journal of Nanoscience and Nanotechnology,Comparative Study of the Thermocyclic Behavior of Ti–Ni–Hf and Ti–Ni–Hf–Ta Shape Memory Alloys,2016.0,206.0,224.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
K. M. Kim; J. K. Hong; C. H. Park and J.-T. Yeom,Journal of Nanoscience and Nanotechnology,Comparative Study of the Thermocyclic Behavior of Ti–Ni–Hf and Ti–Ni–Hf–Ta Shape Memory Alloys,2016.0,205.0,223.0,49.0,Ni49.0Ti36.0Hf15.0 %,36.0,15.0
