Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Zr (at.%)
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,226.0,143.0,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,326.0,237.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,314.0,219.0,49.5,Ni49.5Ti30.5Zr20.0 %,30.5,20.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,471.0,351.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,124.0,36.0,47.0,Ni47.0Ti48.0Zr5.0 %,48.0,5.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,151.0,60.0,47.0,Ni47.0Ti43.0Zr10.0 %,43.0,10.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,208.0,133.0,47.0,Ni47.0Ti38.0Zr15.0 %,38.0,15.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,307.0,236.0,47.0,Ni47.0Ti33.0Zr20.0 %,33.0,20.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,43.0,-41.0,50.0,Ni50.0Ti32.0Zr18.0 %,32.0,18.0
E. Cesari; P. Ochin; R. Portier; V. Kolomystev; Y. Koval; A. Pasko and V. Soolshenko,Materials Science and Engineering: A,Structure and properties of Ti–Ni–Zr and Ti–Ni–Hf Melt Spun ribbons ,1999.0,159.0,99.0,50.0,Ni50.0Ti32.0Zr18.0 %,32.0,18.0
S. K. Wu and S. F. Hsieh,Journal of Alloys and Compounds,Martensitic transformation of a Ti-rich Ti40.5Ni49.5Zr10 shape memory alloy,2000.0,175.0,76.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
V. P. Sivokha and L. L. Meisner,Physica B: Condensed Matter,Shape memory effect in Ti50Ni50−xZrx alloys,2001.0,140.0,68.0,50.0,Ni50.0Ti49.0Zr1.0 %,49.0,1.0
V. P. Sivokha and L. L. Meisner,Physica B: Condensed Matter,Shape memory effect in Ti50Ni50−xZrx alloys,2001.0,136.0,40.0,50.0,Ni50.0Ti44.0Zr6.0 %,44.0,6.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,15.0,-90.0,50.0,Ni50.0Ti44.0Zr6.0 %,44.0,6.0
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,125.0,5.0,50.0,Ni50.0Ti44.0Zr6.0 %,44.0,6.0
Z. Feng; B. Gao; J. Wang; D. Qian and Y. Liu,Materials Science Forum,Influence of Zr Additions on Shape-Memory Effect and Mechanical Properties of Ni-Rich NiTi Alloys,2002.0,37.0,-24.0,50.6,Ni50.6Ti48.4Zr1.0 %,48.4,1.0
Z. Feng; B. Gao; J. Wang; D. Qian and Y. Liu,Materials Science Forum,Influence of Zr Additions on Shape-Memory Effect and Mechanical Properties of Ni-Rich NiTi Alloys,2002.0,50.0,-5.0,50.6,Ni50.6Ti47.4Zr2.0 %,47.4,2.0
Z. Feng; B. Gao; J. Wang; D. Qian and Y. Liu,Materials Science Forum,Influence of Zr Additions on Shape-Memory Effect and Mechanical Properties of Ni-Rich NiTi Alloys,2002.0,66.0,20.0,50.6,Ni50.6Ti46.4Zr3.0 %,46.4,3.0
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,190.0,96.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,189.0,93.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,195.0,95.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,214.0,99.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,231.0,105.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,242.0,108.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,249.0,111.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
T. Sawaguchi; M. Sato and A. Ishida,Materials Science Forum,Sputter-Deposited TiZrNi High-Temperature Shape-Memory Thin Films,2002.0,174.0,90.0,49.7,Ni49.7Ti34.9Zr15.4 %,34.9,15.4
