Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Ni (at.%),composition,Ti (at.%),Zr (at.%)
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,168.0,27.0,49.9,Ni49.9Ti20.599999999999994Zr29.5 %,20.6,29.5
H. Y. Kim; M. Mizutani and S. Miyazaki,Acta Materialia,Crystallization process and shape memory properties of Ti–Ni–Zr thin films,2009.0,166.0,25.0,49.9,Ni49.9Ti20.6Zr29.5 %,20.6,29.5
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,324.0,252.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,318.0,245.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,319.0,244.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,298.0,222.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,303.0,226.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,301.0,223.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,313.0,234.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,306.0,226.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,310.0,229.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,72.0,-37.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,82.0,-31.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,96.0,-22.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,114.0,-5.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,149.0,10.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,168.0,24.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,185.0,37.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,186.0,33.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
D. H. D. Hsu; T. T. Sasaki; G. B. Thompson and M. V. Manuel,Metallurgical and Materials Transactions A,The Effect of Aluminum Additions on the Microstructure and Thermomechanical Behavior of NiTiZr Shape-Memory Alloys,2012.0,192.0,34.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,43.0,-46.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,68.0,-24.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,93.0,15.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,111.0,32.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,116.0,35.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,128.0,46.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,156.0,50.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,160.0,51.0,50.0,Ni50.0Ti39.0Zr11.0 %,39.0,11.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,115.0,33.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,119.0,34.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,127.0,40.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,143.0,49.0,51.0,Ni51.0Ti32.0Zr17.0 %,32.0,17.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,141.0,44.0,51.0,Ni51.0Ti32.0Zr17.0 %,32.0,17.0
J. Sakurai and S. Hata,Materials Science and Engineering: A,Search for Ti–Ni–Zr thin film metallic glasses exhibiting a shape memory effect after crystallization,2012.0,154.0,56.0,51.0,Ni51.0Ti32.0Zr17.0 %,32.0,17.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,170.0,125.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,170.0,119.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,168.0,116.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,169.0,113.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,176.0,114.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,175.0,88.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,185.0,89.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,192.0,88.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,205.0,98.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. D. Noebe; R. Santamarta and J. Pons,Scripta Materialia,Effect of precipitation on the microstructure and the shape memory response of the Ni50.3Ti29.7Zr20 high temperature shape memory alloy,2013.0,200.0,93.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,238.0,125.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,251.0,122.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,248.0,102.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,249.0,100.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,242.0,92.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
M. A. Azeem and D. Dye,Intermetallics,In situ evaluation of the transformation behaviour of NiTi-based high temperature shape memory alloys,2014.0,243.0,88.0,50.0,Ni50.0Ti35.0Zr15.0 %,35.0,15.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,116.0,49.0,49.5,Ni49.5Ti49.5Zr1.0 %,49.5,1.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,123.0,40.0,49.5,Ni49.5Ti47.5Zr3.0 %,47.5,3.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,129.0,31.0,49.5,Ni49.5Ti45.5Zr5.0 %,45.5,5.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,155.0,72.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,233.0,162.0,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz and G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,333.0,263.0,49.5,Ni49.5Ti30.5Zr20.0 %,30.5,20.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,94.0,37.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,61.0,27.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,79.0,30.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,91.0,40.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,88.0,37.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,84.0,33.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,79.0,25.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,76.0,20.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,83.0,45.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,103.0,44.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,97.0,36.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,111.0,50.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,94.0,32.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,96.0,33.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,108.0,30.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,80.0,-8.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,42.0,-45.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,116.0,37.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,85.0,36.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,74.0,24.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,91.0,38.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,98.0,45.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,77.0,21.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,81.0,25.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,76.0,17.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,83.0,5.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,62.0,-17.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,98.0,19.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,102.0,25.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,122.0,66.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,120.0,57.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,118.0,53.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,118.0,51.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,124.0,53.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; J. Pons; R. Santamarta and R. D. Noebe,Materials Science and Engineering: A,Role of nano-precipitation on the microstructure and shape memory characteristics of a new Ni50.3Ti34.7Zr15 shape memory alloy,2016.0,132.0,55.0,50.3,Ni50.3Ti34.7Zr15.0 %,34.7,15.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons; C. Hayrettin and R. D. Noebe,Acta Materialia,Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys,2016.0,76.0,21.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons; C. Hayrettin and R. D. Noebe,Acta Materialia,Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys,2016.0,176.0,123.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons; C. Hayrettin and R. D. Noebe,Acta Materialia,Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys,2016.0,175.0,116.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
A. Evirgen; I. Karaman; R. Santamarta; J. Pons; C. Hayrettin and R. D. Noebe,Acta Materialia,Relationship between crystallographic compatibility and thermal hysteresis in Ni-rich NiTiHf and NiTiZr high temperature shape memory alloys,2016.0,176.0,88.0,50.3,Ni50.3Ti29.7Zr20.0 %,29.7,20.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,6.0,-70.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,6.0,-70.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,48.0,-65.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,64.0,23.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
S. M. Kornegay,,Influence of zirconium additions on nitinol shape memory phase stability; transformation temperatures; and thermo-mechanical properties,2016.0,56.0,14.0,50.3,Ni50.3Ti48.7Zr1.0 %,48.7,1.0
