Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Zr (at.%),composition,Cu (at.%)
K. Song; D. Wu; S. Pauly; C. Peng; L. Wang and J. Eckert,Intermetallics,Thermal stability of B2 CuZr phase; microstructural evolution and martensitic transformation in Cu–Zr–Ti alloys,2015.0,321.0,70.0,50.0,Zr50.0Cu50.0 %,50.0
W. Gao; X. Meng; G. Song; W. Cai and L. Zhao,Journal of Alloys and Compounds,Effect of Hf content on martensitic transformation; microstructure; and mechanical properties of Cu50Zr50− xHfx alloys,2016.0,276.0,80.0,50.0,Zr50.0Cu50.0 %,50.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,308.0,69.0,48.0,Zr48.0Cu52.0 %,52.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,307.0,72.0,49.0,Zr49.0Cu51.0 %,51.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,306.0,69.0,48.0,Zr48.0Cu52.0 %,52.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,311.0,73.0,50.0,Zr50.0Cu50.0 %,50.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,328.0,67.0,51.0,Zr51.0Cu49.0 %,49.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,308.0,66.0,49.0,Zr49.0Cu51.0 %,51.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,316.0,71.0,51.0,Zr51.0Cu49.0 %,49.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,320.0,66.0,50.0,Zr50.0Cu50.0 %,50.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,316.0,71.0,52.0,Zr52.0Cu48.0 %,48.0
H. Tokunaga and K. Shoya,Transactions of the Materials Research Society of Japan,Effect of alloy composition on phase transformation behavior of Zr-Cu shape memory alloy,2016.0,341.0,61.0,52.0,Zr52.0Cu48.0 %,48.0
