Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Cu (at.%),composition,Au (at.%),Al (at.%)
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,155.0,106.0,32.0,Au57.0Cu32.0Al11.0 %,57.0,11.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,44.0,14.0,43.0,Au44.0Cu43.0Al13.0 %,44.0,13.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,45.0,14.0,43.0,Au44.0Cu43.0Al13.0 %,44.0,13.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,52.0,17.0,43.0,Au44.0Cu43.0Al13.0 %,44.0,13.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,96.0,60.0,36.0,Au51.0Cu36.0Al13.0 %,51.0,13.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,32.0,10.0,23.0,Au62.0Cu23.0Al15.0 %,62.0,15.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,64.0,-7.0,40.0,Au43.0Cu40.0Al17.0 %,43.0,17.0
Pio John S. Buenconsejo; and Alfred Ludwig,Acta Materialia,New Au–Cu–Al thin film shape memory alloys with tunable functional properties and high thermal stability,2015.0,8.0,-15.0,22.0,Au60.0Cu22.0Al18.0 %,60.0,18.0
Pio John S; BuenconsejoJanine Pfetzing-Micklich; Michael Paulus; Christian Sternemann;Alfred Ludwig,Shap. Mem. Superelasticity,Composition–Structure–Property Relations in Au35–68Cu49–15Al16–17 Shape Memory Thin Films,2016.0,18.0,-8.0,33.0,Au51.0Cu33.0Al16.0 %,51.0,16.0
Pio John S; BuenconsejoJanine Pfetzing-Micklich; Michael Paulus; Christian Sternemann;Alfred Ludwig,Shap. Mem. Superelasticity,Composition–Structure–Property Relations in Au35–68Cu49–15Al16–17 Shape Memory Thin Films,2016.0,12.0,-11.0,22.0,Au62.0Cu22.0Al16.0 %,62.0,16.0
Pio John S; BuenconsejoJanine Pfetzing-Micklich; Michael Paulus; Christian Sternemann;Alfred Ludwig,Shap. Mem. Superelasticity,Composition–Structure–Property Relations in Au35–68Cu49–15Al16–17 Shape Memory Thin Films,2016.0,18.0,-8.0,32.0,Au51.0Cu32.0Al17.0 %,51.0,17.0
