Authors,Source,Title,Year,Austenite Finish Temperature - AF - (°C),Martensite Finish Temperature - MF - (°C),Cu (at.%),composition,Al (at.%),Mn (at.%)
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,100.0,0.0,72.0,Cu72.0Al23.3Mn4.7 %,23.3,4.7
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,-8.0,-50.0,70.8,Cu70.8Al24.3Mn4.9 %,24.3,4.9
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,90.0,20.0,71.8,Cu71.8Al23.3Mn4.9 %,23.3,4.9
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,90.0,20.0,71.6,Cu71.6Al23.4Mn5.0 %,23.4,5.0
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,120.0,0.0,71.7,Cu71.7Al23.2Mn5.1 %,23.2,5.1
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,125.0,20.0,71.8,Cu71.8Al23.1Mn5.1 %,23.1,5.1
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,65.0,18.0,70.8,Cu70.8Al24.0Mn5.2 %,24.0,5.2
Mielczarek; Riehemann; Vogelgesang; Tonn,,Mechanical and fatigue properties of Cu - Al - Mn shape memory alloys with influence of mechanical cycling on amplitude dependence of internal friction at room temperature,2008.0,136.0,-20.0,71.1,Cu71.1Al22.2Mn6.7 %,22.2,6.7
Obrado; Manosa; Planes,,Stability of the bcc phase of Cu-Al-Mn shape-memory alloys,1997.0,-35.0,-73.0,69.29,Cu69.29Al23.76Mn6.95 %,23.76,6.95
Obrado; Manosa; Planes,,Stability of the bcc phase of Cu-Al-Mn shape-memory alloys,1997.0,30.0,2.0,70.89,Cu70.89Al19.96Mn9.15 %,19.96,9.15
Omori; Wang; Sutou; Kainuma; Ishida,,Two-Way Shape Memory Effect Induced by Bending Deformation in Ductile Cu–Al–Mn Alloys,2002.0,7.0,-38.0,72.0,Cu72.0Al17.0Mn11.0 %,17.0,11.0
Omori; Wang; Sutou; Kainuma; Ishida,,Two-Way Shape Memory Effect Induced by Bending Deformation in Ductile Cu–Al–Mn Alloys,2002.0,15.0,-18.0,72.0,Cu72.0Al17.0Mn11.0 %,17.0,11.0
Pan; Li; Wang; Deng; Li; Zheng,,The effect of non-isothermal aging on the phase of Cu73Al24Mn3 alloy,2007.0,270.0,125.0,73.0,Cu73.0Al24.0Mn3.0 %,24.0,3.0
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,-14.0,-53.0,71.3,Cu71.3Al18.8Mn9.9 %,18.8,9.9
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,30.0,0.0,71.3,Cu71.3Al18.8Mn9.9 %,18.8,9.9
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,45.0,3.0,71.3,Cu71.3Al18.8Mn9.9 %,18.8,9.9
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,-100.0,-155.0,70.8,Cu70.8Al18.0Mn11.2 %,18.0,11.2
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,-37.0,-137.0,70.8,Cu70.8Al18.0Mn11.2 %,18.0,11.2
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,-16.0,-61.0,70.8,Cu70.8Al18.0Mn11.2 %,18.0,11.2
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,-198.0,-255.0,70.1,Cu70.1Al16.9Mn13.0 %,16.9,13.0
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,-123.0,-185.0,70.1,Cu70.1Al16.9Mn13.0 %,16.9,13.0
Prado,,THE INFLUENCE OF b PHASE AGING ON THE MARTENSITIC TRANSFORMATION TEMPERATURES OF CuMnAl ALLOYS,1998.0,-107.0,-144.0,70.1,Cu70.1Al16.9Mn13.0 %,16.9,13.0
Quian; Geng; Wang; Pillsbury; Hada; Yamagucki; Fujimoto; Hwang; Radermacher; Cui; Yuki; Toyotake; Takeuchi,,Elastocaloric effect in CuAlZn and CuAlMn shape memory alloys under compression,2016.0,-12.0,-52.0,73.0,Cu73.0Al15.0Mn12.0 %,15.0,12.0
Qian; Geng; Wang ; Pillsbury ; Hada ;Yamaguchi ;Fujimoto ;Hwang ;Radermacher ; Cui ;Yuki ; Toyotake; Takeuchi,,Elastocaloric effect in CuAlZn and CuAlMn shape memory alloys under compression,2016.0,-12.0,-39.0,73.0,Cu73.0Al15.0Mn12.0 %,15.0,12.0
Sutou; Omori; Okamoto; Kainuma; Ishida,,Effect of grain refinement on the mechanical and shape memory properties of Cu-AI-Mn base alloys,2001.0,76.0,36.0,73.0,Cu73.0Al17.0Mn10.0 %,17.0,10.0
Sutou; Omori; Okamoto; Kainuma; Ishida,,Effect of grain refinement on the mechanical and shape memory properties of Cu-AI-Mn base alloys,2001.0,97.0,59.0,74.0,Cu74.0Al16.0Mn10.0 %,16.0,10.0
Titenko; Demchenko,,Effect of Annealing in Magnetic Field on Ferromagnetic Nanoparticle Formation in Cu-Al-Mn Alloy with Induced Martensite Transformation,2016.0,19.0,-26.0,73.2,Cu73.2Al22.6Mn4.2 %,22.6,4.2
Trehern,Materials letters,Exploring thermomechanical functionality of CuAlMn as an extreme low temperature shape memory alloy,,-116.0,-153.0,69.4,Cu69.4Al18.6Mn12.0 %,18.6,12.0
Trehern,Materials letters,Exploring thermomechanical functionality of CuAlMn as an extreme low temperature shape memory alloy,,-151.0,-181.0,69.2,Cu69.2Al18.6Mn12.2 %,18.6,12.2
Trehern,Materials letters,Exploring thermomechanical functionality of CuAlMn as an extreme low temperature shape memory alloy,,-157.0,-197.0,68.8,Cu68.8Al18.6Mn12.6 %,18.6,12.6
Trehern,Materials letters,Exploring thermomechanical functionality of CuAlMn as an extreme low temperature shape memory alloy,,-182.0,-226.0,68.6,Cu68.6Al18.6Mn12.8 %,18.6,12.8
Ursanu; Stanciu; Pricop; Sandulache; Cimpoesu,,Dynamic mechanical analyze of superelastic CuMnAl shape memory alloy,,7.0,-89.0,69.5,Cu69.5Al20.5Mn10.0 %,20.5,10.0
Wang; Lu; Cui; Xu; Yang,,Internal friction of a CuAlMn shape memory alloy studied as a function of frequency,,345.0,200.0,73.5,Cu73.5Al24.0Mn2.5 %,24.0,2.5
Xu; Huang; Xie; Kimura; Xu; Omori; Kainuma,,Dynamic Recovery and Superelasticity of Columnar-Grained Cu–Al–Mn Shape Memory Alloy,,-40.0,-68.0,57.0,Cu57.0Al33.0Mn10.0 %,33.0,10.0
Zarubova; Novak,,Phase stability of CuAlMn shape memory alloys,,0.0,-43.0,70.6,Cu70.6Al25.3Mn4.1 %,25.3,4.1
Zarubova; Novak,,Phase stability of CuAlMn shape memory alloys,,22.0,-8.0,70.9,Cu70.9Al20.4Mn8.7 %,20.4,8.7
K. Sugimoto; T. Mori; K. Otsuka and K. Shimizu,Scripta Metallurgica,Simultaneous measurements of internal friction; young's modulus and shape change associated with thermoelastic martensite transformation in Cu-Al-Ni single crystals,1974.0,-44.0,-110.0,67.9,Cu67.9Al28.3Mn3.8 %,28.3,3.8
K. Sugimoto; T. Mori; K. Otsuka and K. Shimizu,Scripta Metallurgica,Simultaneous measurements of internal friction; young's modulus and shape change associated with thermoelastic martensite transformation in Cu-Al-Ni single crystals,1974.0,-100.0,-150.0,67.6,Cu67.6Al28.4Mn4.0 %,28.4,4.0
L. Brown,Metallurgical and Materials Transactions A,Pseudoelasticity in β Cu Al Ni alloys at temperatures belowMs,1975.0,30.0,-28.0,69.3,Cu69.3Al28.0Mn2.7 %,28.0,2.7
K. Otsuka; H. Sakamoto and K. Shimizu,Scripta Metallurgica,Two stage superelasticity associated with successive martensite-to-martensite transformations,1976.0,68.0,19.0,68.6,Cu68.6Al27.6Mn3.8 %,27.6,3.8
K. Otsuka; C. Wayman; K. Nakai; H. Sakamoto and K. Shimizu,Acta Metallurgica,Superelasticity effects and stress-induced martensitic transformations in Cu-Al-Ni alloys,1976.0,-90.0,-150.0,67.6,Cu67.6Al28.4Mn4.0 %,28.4,4.0
K. Otsuka; C. Wayman; K. Nakai; H. Sakamoto and K. Shimizu,Acta Metallurgica,Superelasticity effects and stress-induced martensitic transformations in Cu-Al-Ni alloys,1976.0,10.0,-39.0,67.6,Cu67.6Al28.4Mn4.0 %,28.4,4.0
K. Otsuka; C. Wayman; K. Nakai; H. Sakamoto and K. Shimizu,Acta Metallurgica,Superelasticity effects and stress-induced martensitic transformations in Cu-Al-Ni alloys,1976.0,14.0,-42.0,67.6,Cu67.6Al28.4Mn4.0 %,28.4,4.0
K. Otsuka; C. Wayman; K. Nakai; H. Sakamoto and K. Shimizu,Acta Metallurgica,Superelasticity effects and stress-induced martensitic transformations in Cu-Al-Ni alloys,1976.0,21.0,-30.0,67.6,Cu67.6Al28.4Mn4.0 %,28.4,4.0
K. Otsuka; C. Wayman; K. Nakai; H. Sakamoto and K. Shimizu,Acta Metallurgica,Superelasticity effects and stress-induced martensitic transformations in Cu-Al-Ni alloys,1976.0,38.5,-11.5,67.6,Cu67.6Al28.4Mn4.0 %,28.4,4.0
N. Yang; C. Laird and D. P. Pope,Metallurgical Transactions A,The cyclic stress-strain response of polycrystalline; pseudoelastic Cu-14.5 wt pct Al-3 wt pct Ni alloy,1977.0,-20.0,-68.0,68.8,Cu68.8Al28.5Mn2.7 %,28.5,2.7
H. Sakamoto; K. Otsuka and K. Shimizu,Scripta Metallurgica,The heredity of martensitic transformations in ordered alloys,1978.0,52.0,-9.0,68.6,Cu68.6Al27.6Mn3.8 %,27.6,3.8
