Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Au (at.%)
,,,2022.0,3.7671,20.527,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,3.7039,20.6,40.0,Ni40.0Ti50.0Au10.0 %,50.0,10.0
,,,2022.0,2.9694,21.173,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,2.982,21.102,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,3.0188,21.086,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,2.9636,21.09,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,8.3934,28.139,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,8.376,28.551,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,3.0085,21.143,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,8.3318,27.806,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,8.3641,28.9,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,8.2641,27.553,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,8.0771,29.172,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,3.01,20.99,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,3.008,20.918,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2022.0,8.1342,26.622,40.3,Ni40.3Ti49.7Au10.0 %,49.7,10.0
,,,2026.0,3.6633,20.583,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2025.0,3.6585,20.58,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2027.0,3.6785,20.577,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2024.0,3.6538,20.569,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2028.0,3.6141,20.569,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2023.0,3.6727,20.544,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,3.6069,20.582,39.0,Ni39.0Ti50.0Au11.0 %,50.0,11.0
,,,2022.0,2.9659,21.069,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.9311,21.025,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.959,21.042,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.9596,21.077,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.9631,21.044,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.8677,21.072,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.9551,21.027,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.9637,21.038,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.9729,21.026,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,3.0102,20.916,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
,,,2022.0,2.9455,20.888,39.3,Ni39.3Ti49.7Au11.0 %,49.7,11.0
