Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Au (at.%)
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
L. Casalena; G.S. Bigelow; Y. Gao; O. Benafan; R.D. Noebe; Y. Wang; M.J. Mills,Intermetallics,Mechanical behavior and microstructural analysis of NiTi-40Au shape memory alloys exhibiting work output above 400 °C,2017.0,20.0,20.0,10.3,Ni10.3Ti49.7Au40.0 %,49.7,40.0
