Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ni (at.%),composition,Ti (at.%),Zr (at.%)
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti35.3Zr16.0 %,35.3,16.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti35.3Zr16.0 %,35.3,16.0
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,10.0,10.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
J. H. Mulder; J. Beyer; P. Donner and J. Peterseim,Shape Memory and Superelastic Technologies,On the High Temperature Shape Memory Capabilities of Ni-(TiZr) and Ni-(TiHf) Alloys,1994.0,20.0,20.0,48.7,Ni48.7Ti33.8Zr17.5 %,33.8,17.5
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti46.5Zr5.0 %,46.5,5.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti45.5Zr5.0 %,45.5,5.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti41.5Zr10.0 %,41.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti36.5Zr15.0 %,36.5,15.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti35.5Zr15.0 %,35.5,15.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti31.5Zr20.0 %,31.5,20.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,49.5,Ni49.5Ti30.5Zr20.0 %,30.5,20.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Materials Characterization,A Study on Ternary Ti-rich TiNiZr Shape Memory Alloys,1998.0,10.0,10.0,48.5,Ni48.5Ti26.5Zr25.0 %,26.5,25.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,10.0,10.0,47.0,Ni47.0Ti48.0Zr5.0 %,48.0,5.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,10.0,10.0,47.0,Ni47.0Ti43.0Zr10.0 %,43.0,10.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,10.0,10.0,47.0,Ni47.0Ti38.0Zr15.0 %,38.0,15.0
S. F. Hsieh and S. K. Wu,Journal of Alloys and Compounds,Room-temperature phases observed in Ti53−xNi47Zrx high-temperature shape memory alloys,1998.0,10.0,10.0,47.0,Ni47.0Ti33.0Zr20.0 %,33.0,20.0
S. K. Wu and S. F. Hsieh,Journal of Alloys and Compounds,Martensitic transformation of a Ti-rich Ti40.5Ni49.5Zr10 shape memory alloy,2000.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
S. K. Wu and S. F. Hsieh,Journal of Alloys and Compounds,Martensitic transformation of a Ti-rich Ti40.5Ni49.5Zr10 shape memory alloy,2000.0,10.0,10.0,49.5,Ni49.5Ti40.5Zr10.0 %,40.5,10.0
