Authors,Source,Title,Year,Cooling Rate (°C/min),Heating Rate (°C/min),Ru (at.%),composition,Ta (at.%)
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,10.0,10.0,49.6,Ru49.6Ta50.4 %,50.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,10.0,10.0,49.6,Ru49.6Ta50.4 %,50.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,10.0,10.0,44.6,Ru44.6Ta55.4 %,55.4
A. Manzoni; K. Chastaing; A. Denquin; P. Vermaut and R. Portier,European Symposium on Martensitic Transformations,Shape recovery in high temperature shape memory alloys based on the Ru-Nb and Ru-Ta systems,2009.0,10.0,10.0,42.9,Ru42.9Ta57.1 %,57.1
